scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol,catalog_source
Opuntia engelmannii var. flavispina,Opuntia phaeacantha var. flavispina,cactus apple,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPENF,USDA PLANTS (public domain)
Opuntia flexospina,Opuntia strigil var. flexospina; Opuntia engelmannii var. flexospina,cactus apple,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPENF2,USDA PLANTS (public domain)
Opuntia lindheimeri,Opuntia engelmannii var. alta; Opuntia engelmannii var. dulcis; Opuntia engelmannii var. texana; Opuntia engelmannii var. cacanapa; Opuntia lindheimeri var. lehmannii; Opuntia engelmannii var. lindheimeri,Texas pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPENL,USDA PLANTS (public domain)
Opuntia linguiformis,Opuntia engelmannii var. linguiformis; Opuntia lindheimeri var. linguiformis,cactus apple,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPENL2,USDA PLANTS (public domain)
Opuntia opuntia,Opuntia vulgaris; Opuntia humifusa; Opuntia compressa; Opuntia calcicola; Opuntia cumulicola; Opuntia monacantha; Opuntia rafinesquei; Opuntia ficus-indica; Opuntia humifusa var. humifusa; Opuntia compressa var. allairei; Opuntia compressa var. fuscoatra; Opuntia compressa var. microsperma; Cactus ficus-indica,Barbary fig,Cactaceae,Opuntia,"Tree, Shrub",Perennial,L48(I)HI(I)PR(I),10,Yes,Red,Mid Summer,High,Intolerant,Moderate,"OPFI,OPHU,OPMO5",USDA PLANTS (public domain)
Opuntia fragilis,Opuntia brachyarthra; Opuntia fragilis var. denudata; Opuntia fragilis var. fragilis; Opuntia fragilis var. brachyarthra; Opuntia fragilis ssp. brachyarthra; Cactus fragilis,brittle pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N)CAN(N),,,,,,,,OPFR,USDA PLANTS (public domain)
Opuntia gosseliniana,Opuntia violacea var. gosseliniana; Opuntia chlorotica var. gosseliniana,violet pricklypear,Cactaceae,Opuntia,"Tree, Shrub",Perennial,L48(N),,,,,,,,OPGO,USDA PLANTS (public domain)
Opuntia laevis,Opuntia phaeacantha var. laevis,tulip pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPLA2,USDA PLANTS (public domain)
Opuntia leucotricha,,arborescent pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(I),,,,,,,,OPLE2,USDA PLANTS (public domain)
Opuntia littoralis,,coastal pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPLI3,USDA PLANTS (public domain)
Opuntia littoralis var. austrocalifornica,,coastal pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPLIA,USDA PLANTS (public domain)
Opuntia littoralis var. littoralis,Opuntia engelmannii var. littoralis; Opuntia occidentalis var. littoralis,coastal pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPLIL3,USDA PLANTS (public domain)
Opuntia covillei var. piercei,Opuntia littoralis var. piercei; Opuntia phaeacantha var. piercei; Opuntia occidentalis var. piercei,coastal pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPLIP,USDA PLANTS (public domain)
Opuntia macrocentra,,purple pricklypear,Cactaceae,Opuntia,"Tree, Shrub",Perennial,L48(N),,,,,,,,OPMA8,USDA PLANTS (public domain)
Opuntia violacea,Opuntia violacea var. castetteri; Opuntia violacea var. macrocentra; Opuntia macrocentra var. macrocentra,purple pricklypear,Cactaceae,Opuntia,"Shrub, Tree",Perennial,L48(N),,,,,,,,OPMAM,USDA PLANTS (public domain)
Opuntia macrocentra var. minor,,purple pricklypear,Cactaceae,Opuntia,"Tree, Shrub",Perennial,L48(N),,,,,,,,OPMAM2,USDA PLANTS (public domain)
Opuntia macrorhiza,,twistspine pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPMA2,USDA PLANTS (public domain)
Opuntia plumbea,Opuntia leptocarpa; Opuntia tenuispina; Opuntia tortispina; Opuntia grandiflora; Opuntia mackensenii; Opuntia sphaerocarpa; Opuntia compressa var. macrorhiza; Opuntia compressa var. stenochila; Opuntia macrorhiza var. macrorhiza; Opuntia compressa var. grandiflora,twistspine pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPMAM3,USDA PLANTS (public domain)
Opuntia ballii,Opuntia pottsii; Opuntia macrorhiza var. pottsii; Opuntia phaeacantha var. tenuispina,twistspine pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPMAP,USDA PLANTS (public domain)
Opuntia martiniana,Opuntia littoralis var. martiniana; Opuntia macrocentra var. martiniana,seashore cactus,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPMA3,USDA PLANTS (public domain)
Opuntia microdasys,,angel's-wings,Cactaceae,Opuntia,Shrub,Perennial,L48(I),,,,,,,,OPMI4,USDA PLANTS (public domain)
Opuntia oricola,,chaparral pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPOR,USDA PLANTS (public domain)
Opuntia canada,Opuntia dulcis; Opuntia woodsii; Opuntia arizonica; Opuntia gilvescens; Opuntia mojavensis; Opuntia phaeacantha; Opuntia superbospina; Opuntia charlestonensis; Opuntia phaeacantha var. major; Opuntia phaeacantha var. brunnea; Opuntia engelmannii var. cycloides; Opuntia phaeacantha var. nigricans; Opuntia phaeacantha var. camanchica; Opuntia phaeacantha var. mojavensis; Opuntia phaeacantha var. phaeacantha; Opuntia phaeacantha var. superbospina,tulip pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPPH,USDA PLANTS (public domain)
Opuntia pinkavae,Opuntia basilaris var. woodburyi,Pinkava's pricklypear,Cactaceae,Opuntia,"Tree, Shrub",Perennial,L48(N),,,,,,,,OPPI3,USDA PLANTS (public domain)
Opuntia polyacantha,,plains pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N)CAN(N),2.0,Yes,Yellow,Late Spring,High,Intolerant,Moderate,OPPO,USDA PLANTS (public domain)
Opuntia arenaria,Opuntia polyacantha var. arenaria,El Paso pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPPOA,USDA PLANTS (public domain)
Opuntia ursina,Opuntia erinacea; Opuntia erinacea var. erinacea; Opuntia polyacantha var. erinacea,grizzlybear pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPPOE,USDA PLANTS (public domain)
Opuntia hystricina,Opuntia erinacea var. hystricina; Opuntia polyacantha var. hystricina,grizzlybear pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPPOH,USDA PLANTS (public domain)
Opuntia nicholii,Opuntia polyacantha var. nicholii,Navajo Bridge pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPPON,USDA PLANTS (public domain)
Opuntia rutila,Opuntia rhodantha; Opuntia heacockiae; Opuntia juniperina; Opuntia rubrifolia; Opuntia trichophora; Opuntia schweriniana; Opuntia erinacea var. ursina; Opuntia erinacea var. utahensis; Opuntia erinacea var. paucispina; Opuntia rhodantha var. spinosior; Opuntia erinacea var. xanthostemma; Opuntia polyacantha var. rufispina; Opuntia polyacantha var. juniperina; Opuntia sphaerocarpa var. utahensis; Opuntia polyacantha var. polyacantha; Opuntia polyacantha var. trichophora; Opuntia missouriensis var. trichophora,hairspine pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N)CAN(N),,,,,,,,OPPOP,USDA PLANTS (public domain)
Opuntia tracyi,Opuntia pusilla; Opuntia drummondii; Cactus pusillus,cockspur pricklypear,Cactaceae,Opuntia,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,OPPU2,USDA PLANTS (public domain)
Opuntia repens,,roving pricklypear,Cactaceae,Opuntia,"Subshrub, Shrub",Perennial,PR(N)VI(N),,,,,,,,OPRE2,USDA PLANTS (public domain)
Opuntia rufida,,blind pricklypear,Cactaceae,Opuntia,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,OPRU3,USDA PLANTS (public domain)
Opuntia sanguinea,,blood-red pricklypear,Cactaceae,Opuntia,Shrub,Perennial,VI(N),,,,,,,,OPSA3,USDA PLANTS (public domain)
Opuntia santa-rita,Opuntia violacea var. santa-rita; Opuntia chlorotica var. santa-rita,Santa Rita pricklypear,Cactaceae,Opuntia,"Tree, Shrub",Perennial,L48(N),,,,,,,,OPSA,USDA PLANTS (public domain)
Opuntia stricta,Opuntia bentonii; Opuntia macrantha; Opuntia magnifica; Opuntia stricta var. stricta; Cactus strictus,erect pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPST2,USDA PLANTS (public domain)
Opuntia strigil,,marblefruit pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPST3,USDA PLANTS (public domain)
Opuntia tenuiflora,,bell-flower pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPTE2,USDA PLANTS (public domain)
Opuntia tomentosa,,woollyjoint pricklypear,Cactaceae,Opuntia,"Tree, Shrub",Perennial,L48(I),,,,,,,,OPTO2,USDA PLANTS (public domain)
Opuntia abjecta,Opuntia triacantha; Cactus triacanthus,Spanish lady,Cactaceae,Opuntia,Shrub,Perennial,L48(N)PR(N)VI(N),,,,,,,,OPTR,USDA PLANTS (public domain)
Opuntia turbinata,,turban prickly pear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPTU3,USDA PLANTS (public domain)
Opuntia valida,,San Antonio pricklypear,Cactaceae,Opuntia,Shrub,Perennial,L48(N),,,,,,,,OPVA3,USDA PLANTS (public domain)
Origanum majorana,Majorana majorana; Majorana hortensis,sweet marjoram,Lamiaceae,Origanum,"Subshrub, Forb/herb",Perennial,L48(I),,,,,,,,ORMA,USDA PLANTS (public domain)
Ormocarpum orientale,Ormocarpum cochinchinense,Indochina ormocarpum,Fabaceae,Ormocarpum,"Shrub, Tree",Perennial,L48(I),,,,,,,,ORCO14,USDA PLANTS (public domain)
Ormosia calavensis,,necklace tree,Fabaceae,Ormosia,Tree,Perennial,L48(N),,,,,,,,ORCA12,USDA PLANTS (public domain)
Ormosia krugii,,peronia,Fabaceae,Ormosia,Tree,Perennial,PR(N),,,,,,,,ORKR,USDA PLANTS (public domain)
Ornithostaphylos oppositifolia,,Baja birdbush,Ericaceae,Ornithostaphylos,Shrub,Perennial,L48(N),,,,,,,,OROP,USDA PLANTS (public domain)
Orthilia secunda,Orthilia secunda ssp. obtusata; Orthilia secunda var. obtusata; Pyrola secunda; Ramischia elatior; Ramischia secunda; Pyrola secunda var. obtusata; Pyrola secunda ssp. obtusata,sidebells wintergreen,Pyrolaceae,Orthilia,Subshrub,Perennial,L48(N)AK(N)CAN(N)GL(N)SPM(N),,,,,,,,ORSE,USDA PLANTS (public domain)
Osmanthus americanus,Cartrema americana,devilwood,Oleaceae,Osmanthus,"Tree, Shrub",Perennial,L48(N),,,,,,,,OSAM,USDA PLANTS (public domain)
Osmanthus floridanus,Osmanthus americanus var. americanus; Amarolea americana,devilwood,Oleaceae,Osmanthus,"Shrub, Tree",Perennial,L48(N),,,,,,,,OSAMA,USDA PLANTS (public domain)
Osmanthus megacarpus,Osmanthus americanus var. megacarpus; Amarolea megacarpa,devilwood,Oleaceae,Osmanthus,"Tree, Shrub",Perennial,L48(N),,,,,,,,OSAMM,USDA PLANTS (public domain)
Osmoxylon oliveri,,kesiamel,Araliaceae,Osmoxylon,Tree,Perennial,L48(N),,,,,,,,OSOL,USDA PLANTS (public domain)
Osmoxylon pachyphyllum,,kesiamel,Araliaceae,Osmoxylon,Tree,Perennial,L48(N),,,,,,,,OSPA,USDA PLANTS (public domain)
Osmoxylon truncatum,,kesiamel,Araliaceae,Osmoxylon,Tree,Perennial,L48(N),,,,,,,,OSTR,USDA PLANTS (public domain)
Osteomeles anthyllidifolia,,Hawai'i hawthorn,Rosaceae,Osteomeles,Shrub,Perennial,HI(N),12,Yes,White,Spring,Medium,Intermediate,Long,OSAN,USDA PLANTS (public domain)
Osteospermum ecklonis,Dimorphotheca ecklonis,blue and white daisybush,Asteraceae,Osteospermum,Subshrub,Perennial,L48(I),,,,,,,,OSEC,USDA PLANTS (public domain)
Ostrya chisosensis,Ostrya knowltonii ssp. chisosensis; Ostrya virginiana var. chisosensis,Chisos hophornbeam,Betulaceae,Ostrya,"Tree, Shrub",Perennial,L48(N),,,,,,,,OSCH2,USDA PLANTS (public domain)
Ostrya knowltonii,,Knowlton's hophornbeam,Betulaceae,Ostrya,"Tree, Shrub",Perennial,L48(N),,,,,,,,OSKN,USDA PLANTS (public domain)
Ostrya virginiana,Ostrya virginiana var. lasia; Ostrya virginiana var. virginiana,hophornbeam,Betulaceae,Ostrya,"Tree, Shrub",Perennial,L48(N)CAN(N),45,No,Yellow,Mid Spring,Medium,Tolerant,Short,OSVI,USDA PLANTS (public domain)
Otholobium fruticans,Psoralea bracteata; Psoralea fruticans; Trifolium fruticans,Capetown pea,Fabaceae,Otholobium,Shrub,Perennial,L48(I),,,,,,,,OTFR,USDA PLANTS (public domain)
Ottoschulzia rhodoxylon,,pincho palo de rosa,Icacinaceae,Ottoschulzia,Tree,Perennial,PR(N),,,,,,,,OTRH,USDA PLANTS (public domain)
Ouratea ilicifolia,Gomphia ilicifolia,chicharron amarillo,Ochnaceae,Ouratea,"Tree, Shrub",Perennial,PR(N)VI(N),,,,,,,,OUIL,USDA PLANTS (public domain)
Ouratea littoralis,,abey amarillo,Ochnaceae,Ouratea,"Shrub, Tree",Perennial,PR(N)VI(N),,,,,,,,OULI,USDA PLANTS (public domain)
Ouratea striata,Camptouratea striata,guanabanilla,Ochnaceae,Ouratea,"Tree, Shrub",Perennial,PR(N),,,,,,,,OUST,USDA PLANTS (public domain)
Oxalis albicans,,radishroot woodsorrel,Oxalidaceae,Oxalis,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,OXAL,USDA PLANTS (public domain)
Oxalis wrightii,Oxalis pilosa var. wrightii; Oxalis albicans ssp. albicans; Oxalis corniculata ssp. albicans; Oxalis corniculata var. wrightii; Oxalis californica var. subglabra; Xanthoxalis albicans; Xanthoxalis wrightii,radishroot woodsorrel,Oxalidaceae,Oxalis,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,OXALA,USDA PLANTS (public domain)
Oxalis californica,Oxalis albicans ssp. californica,California woodsorrel,Oxalidaceae,Oxalis,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,OXALC,USDA PLANTS (public domain)
Oxalis pilosa,Oxalis albicans ssp. pilosa; Oxalis wrightii var. pilosa; Oxalis corniculata ssp. pilosa; Oxalis corniculata var. pilosa; Xanthoxalis pilosa,radishroot woodsorrel,Oxalidaceae,Oxalis,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,OXALP,USDA PLANTS (public domain)
Oxalis frutescens,,shrubby woodsorrel,Oxalidaceae,Oxalis,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,OXFR,USDA PLANTS (public domain)
Oxalis berlandieri,Oxalis angustifolia; Oxalis frutescens ssp. angustifolia,shrubby woodsorrel,Oxalidaceae,Oxalis,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,OXFRA,USDA PLANTS (public domain)
Oxandra lanceolata,,blacklancewood,Annonaceae,Oxandra,Tree,Perennial,PR(N),,,,,,,,OXLA4,USDA PLANTS (public domain)
Oxandra laurifolia,,haya,Annonaceae,Oxandra,Tree,Perennial,PR(N)VI(N),,,,,,,,OXLA5,USDA PLANTS (public domain)
Oxydendrum arboreum,,sourwood,Ericaceae,Oxydendrum,"Shrub, Tree",Perennial,L48(N),35,No,White,Early Summer,Medium,Tolerant,Moderate,OXAR,USDA PLANTS (public domain)
Oxyspora paniculata,,bristletips,Melastomataceae,Oxyspora,"Subshrub, Shrub",Perennial,HI(I),,,,,,,,OXPA3,USDA PLANTS (public domain)
Oxytenia acerosa,Iva acerosa; Euphrosyne acerosa,copperweed,Asteraceae,Oxytenia,"Forb/herb, Shrub, Subshrub",Perennial,L48(N),,,,,,,,OXAC4,USDA PLANTS (public domain)
Pachira aquatica,,Guiana-chestnut,Bombacaceae,Pachira,Tree,Perennial,L48(I)PR(I),,,,,,,,PAAQ2,USDA PLANTS (public domain)
Pachira insignis,,wild chestnut,Bombacaceae,Pachira,Tree,Perennial,PR(I)VI(I),,,,,,,,PAIN7,USDA PLANTS (public domain)
Pachycereus schottii,Cereus schottii; Lophocereus schottii,senita cactus,Cactaceae,Pachycereus,"Tree, Shrub",Perennial,L48(N),,,,,,,,PASC14,USDA PLANTS (public domain)
Pachysandra procumbens,,Allegheny-spurge,Buxaceae,Pachysandra,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PAPR7,USDA PLANTS (public domain)
Pachysandra terminalis,,Japanese pachysandra,Buxaceae,Pachysandra,"Forb/herb, Subshrub",Perennial,L48(I)CAN(W),0.8,Yes,White,Early Summer,Low,Tolerant,Moderate,PATE11,USDA PLANTS (public domain)
Pachystachys spicata,,cardinal's-guard,Acanthaceae,Pachystachys,"Forb/herb, Shrub",Perennial,PR(I),,,,,,,,PASP17,USDA PLANTS (public domain)
Packera cana,Senecio canus; Senecio hallii; Senecio howellii; Senecio harbourii; Senecio convallium; Senecio purshianus; Senecio hallii var. discoidea,woolly groundsel,Asteraceae,Packera,"Forb/herb, Subshrub",Perennial,L48(N)CAN(N),1.5,No,Yellow,Late Spring,High,Intolerant,Moderate,PACA15,USDA PLANTS (public domain)
Packera eurycephala,,widehead groundsel,Asteraceae,Packera,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PAEU5,USDA PLANTS (public domain)
Packera eurycephala var. eurycephala,Senecio eurycephalus,widehead groundsel,Asteraceae,Packera,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PAEUE,USDA PLANTS (public domain)
Packera eurycephala var. lewisrosei,Senecio lewisrosei; Senecio eurycephalus var. lewisrosei,Lewis' groundsel,Asteraceae,Packera,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PAEUL,USDA PLANTS (public domain)
Packera neomexicana,,New Mexico groundsel,Asteraceae,Packera,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PANE7,USDA PLANTS (public domain)
Packera neomexicana var. metcalfei,Senecio metcalfei; Senecio neomexicanus var. metcalfei,Metcalf's groundsel,Asteraceae,Packera,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PANEM2,USDA PLANTS (public domain)
Packera neomexicana var. mutabilis,Senecio mutabilis; Senecio neomexicanus var. mutabilis,New Mexico groundsel,Asteraceae,Packera,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PANEM,USDA PLANTS (public domain)
Packera neomexicana var. neomexicana,Senecio oresbius; Senecio thurberi; Senecio eurypterus; Senecio neomexicanus; Senecio neomexicanus var. griffithsii,New Mexico groundsel,Asteraceae,Packera,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PANEN,USDA PLANTS (public domain)
Packera neomexicana var. toumeyi,Senecio toumeyi; Senecio neomexicanus var. toumeyi,Toumey's groundsel,Asteraceae,Packera,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PANET2,USDA PLANTS (public domain)
Packera porteri,Senecio porteri; Ligularia porteri,Porter's groundsel,Asteraceae,Packera,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PAPO12,USDA PLANTS (public domain)
Packera tridenticulata,Senecio densus; Senecio manitobensis; Senecio tridenticulatus,threetooth ragwort,Asteraceae,Packera,"Forb/herb, Subshrub",Perennial,L48(N)CAN(N),3.0,No,Yellow,Late Summer,Medium,Intolerant,Short,PATR7,USDA PLANTS (public domain)
Paederia foetida,Paederia scandans; Paederia scandens,stinkvine,Rubiaceae,Paederia,"Vine, Shrub",Perennial,L48(I)HI(I),,,,,,,,PAFO3,USDA PLANTS (public domain)
Palafoxia arida,,desert palafox,Asteraceae,Palafoxia,"Subshrub, Forb/herb",Annual,L48(N),,,,,,,,PAAR8,USDA PLANTS (public domain)
Palafoxia arida var. gigantea,Palafoxia linearis var. gigantea,giant Spanish needle,Asteraceae,Palafoxia,"Subshrub, Forb/herb",Annual,L48(N),,,,,,,,PAARG,USDA PLANTS (public domain)
Palafoxia feayi,,Feay's palafox,Asteraceae,Palafoxia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PAFE,USDA PLANTS (public domain)
Palicourea alpina,Psychotria alpina,tafetan,Rubiaceae,Palicourea,"Tree, Shrub",Perennial,PR(N),,,,,,,,PAAL9,USDA PLANTS (public domain)
Palicourea crocea,Palicourea brevithyrsa; Psychotria crocea,red cappel,Rubiaceae,Palicourea,"Tree, Shrub",Perennial,PR(N)VI(N),,,,,,,,PACR3,USDA PLANTS (public domain)
Palicourea riparia,Palicourea croceoides; Palicourea crocea var. riparia,yellow-cedar,Rubiaceae,Palicourea,"Shrub, Tree",Perennial,PR(N)VI(N),,,,,,,,PACR18,USDA PLANTS (public domain)
Palicourea guianensis,,showy cappel,Rubiaceae,Palicourea,"Tree, Shrub",Perennial,PR(N),,,,,,,,PAGU,USDA PLANTS (public domain)
Palicourea barbinervia,Palicourea guianensis ssp. barbinervia,showy cappel,Rubiaceae,Palicourea,"Tree, Shrub",Perennial,PR(N),,,,,,,,PAGUB,USDA PLANTS (public domain)
Paliurus spina-christi,Rhamnus paliurus,Jeruselem thorn,Rhamnaceae,Paliurus,Tree,Perennial,L48(I),,,,,,,,PASP16,USDA PLANTS (public domain)
Pallenis,,estrella de mar,Asteraceae,Pallenis,Subshrub,Perennial,L48(I),,,,,,,,PALLE,USDA PLANTS (public domain)
Pallenis maritima,,estrella de mar,Asteraceae,Pallenis,Subshrub,Perennial,L48(I),,,,,,,,PAMA28,USDA PLANTS (public domain)
Pandanus baptistii,,New Britain Island screwpine,Pandanaceae,Pandanus,Tree,Perennial,PR(I),,,,,,,,PABA13,USDA PLANTS (public domain)
Pandanus dubius,Pandanus pacificus; Pandanus compressus; Pandanus dubius var. dubius; Pandanus dubius var. compressus,bakong,Pandanaceae,Pandanus,Tree,Perennial,L48(N),,,,,,,,PADU3,USDA PLANTS (public domain)
Pandanus lorencei,,Lorence's pandanus,Pandanaceae,Pandanus,"Tree, Shrub",Perennial,L48(N),,,,,,,,PALO2,USDA PLANTS (public domain)
Pandanus peliliuensis,,ongor,Pandanaceae,Pandanus,"Shrub, Tree",Perennial,L48(N),,,,,,,,PAPE,USDA PLANTS (public domain)
Pandanus tectorius,Pandanus douglasii; Pandanus menziesii; Pandanus chamissonis; Pandanus odoratissimus; Pandanus tectorius var. douglasii; Pandanus tectorius var. menziesii; Pandanus tectorius var. oahuensis; Pandanus tectorius var. laevigatus; Pandanus tectorius var. chamissonis; Pandanus tectorius var. sandvicensis; Pandanus odoratissimus var. oahuensis; Pandanus odoratissimus var. laevigatus,Tahitian screwpine,Pandanaceae,Pandanus,Tree,Perennial,L48(N)HI(I)PR(I),10,No,White,,,Intermediate,Short,PATE2,USDA PLANTS (public domain)
Pandanus utilis,,common screwpine,Pandanaceae,Pandanus,Tree,Perennial,PR(I),,,,,,,,PAUT,USDA PLANTS (public domain)
Pandanus veitchii,,Veitch's screwpine,Pandanaceae,Pandanus,Tree,Perennial,PR(I),,,,,,,,PAVE6,USDA PLANTS (public domain)
Paraderris montana,Paraderris malaccensis; Derris malaccensis,tubaroot,Fabaceae,Paraderris,"Vine, Shrub",Perennial,L48(N),,,,,,,,PAMO21,USDA PLANTS (public domain)
Paraserianthes lophantha,Albizia distachya; Albizia lophantha,plume albizia,Fabaceae,Paraserianthes,"Shrub, Tree",Perennial,L48(I),,,,,,,,PALO8,USDA PLANTS (public domain)
Parathesis crenulata,Parathesis serrulata; Ardisia crenulata,scratchthroat,Myrsinaceae,Parathesis,"Shrub, Tree",Perennial,PR(N),,,,,,,,PACR2,USDA PLANTS (public domain)
Parkia parvifoliola,,kmekumer,Fabaceae,Parkia,Tree,Perennial,L48(N),,,,,,,,PAPA2,USDA PLANTS (public domain)
Parkinsonia aculeata,,Jerusalem thorn,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N)HI(I)PR(N)VI(I),,,,,,,,PAAC3,USDA PLANTS (public domain)
Parkinsonia florida,Cercidium floridum; Cercidium floridum ssp. floridum,blue paloverde,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N),,,,,,,,PAFL6,USDA PLANTS (public domain)
Parkinsonia microphylla,Cercidium microphyllum,yellow paloverde,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N),,,,,,,,PAMI5,USDA PLANTS (public domain)
Parkinsonia texana,,Texas paloverde,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N),,,,,,,,PATE10,USDA PLANTS (public domain)
Parkinsonia texana var. macra,Cercidium macrum,Texas paloverde,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N),,,,,,,,PATEM,USDA PLANTS (public domain)
Parkinsonia texana var. texana,Cercidium texanum,Texas paloverde,Fabaceae,Parkinsonia,"Tree, Shrub",Perennial,L48(N),,,,,,,,PATET2,USDA PLANTS (public domain)
Parmentiera edulis,Parmentiera aculeata,cuachilote,Bignoniaceae,Parmentiera,Tree,Perennial,PR(I),,,,,,,,PAAC13,USDA PLANTS (public domain)
Parmentiera cereifera,,candle tree,Bignoniaceae,Parmentiera,Tree,Perennial,PR(I),,,,,,,,PACE8,USDA PLANTS (public domain)
Paronychia diffusa,Paronychia depressa; Paronychia depressa var. diffusa; Paronychia depressa var. brevicuspis,spreading nailwort,Caryophyllaceae,Paronychia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PADE4,USDA PLANTS (public domain)
Paronychia wardii,Paronychia jamesii; Paronychia jamesii var. hirsuta; Paronychia jamesii var. parviflora; Paronychia jamesii var. praelongifolia,James' nailwort,Caryophyllaceae,Paronychia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PAJA,USDA PLANTS (public domain)
Paronychia sessiliflora,,creeping nailwort,Caryophyllaceae,Paronychia,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),,,,,,,,PASE,USDA PLANTS (public domain)
Paronychia parksii,Paronychia scoparia; Paronychia virginica; Paronychia virginica var. parksii; Paronychia virginica var. scoparia,yellow nailwort,Caryophyllaceae,Paronychia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PAVI4,USDA PLANTS (public domain)
Paronychia wilkinsonii,,Wilkinson's nailwort,Caryophyllaceae,Paronychia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PAWI3,USDA PLANTS (public domain)
Parryella filifolia,,common dunebroom,Fabaceae,Parryella,Shrub,Perennial,L48(N),,,,,,,,PAFI4,USDA PLANTS (public domain)
Parthenium argentatum,,guayule,Asteraceae,Parthenium,Shrub,Perennial,L48(N),,,,,,,,PAAR5,USDA PLANTS (public domain)
Parthenium lyratum,Parthenium confertum; Parthenium confertum var. lyratum; Parthenium confertum var. confertum; Parthenium confertum var. divaricatum; Parthenium confertum var. intermedium; Parthenium hysterophorus var. lyratum; Parthenium confertum var. microcephalum,Gray's feverfew,Asteraceae,Parthenium,"Subshrub, Forb/herb","Biennial, Perennial, AN",L48(N),,,,,,,,PACO11,USDA PLANTS (public domain)
Parthenium incanum,,mariola,Asteraceae,Parthenium,Shrub,Perennial,L48(N),,,,,,,,PAIN2,USDA PLANTS (public domain)
